feature,importance
june_rainfall_mm,0.2681761931449197
june_departure_pct,0.24758243241906855
june_vs_district_mean,0.18319255700578332
district_encoded,0.08645774858969654
district_cv,0.07270184230247528
district_mean_mm,0.06869604494497111
district_std_mm,0.06506917138101048
june_was_above_normal,0.008124010212075074
state_encoded,0.0
